Mã môn học,Tên môn học,TC,Loại môn học,Độ khó
SS003,Tư tưởng Hồ Chí Minh,2,Môn đại cương,
SS006,Pháp luật đại cương,2,Môn đại cương,
SS007,Triết học Mác – Lênin,3,Môn đại cương,
SS008,Kinh tế chính trị Mác – Lênin,2,Môn đại cương,
SS009,Chủ nghĩa xã hội khoa học,2,Môn đại cương,
SS010,Lịch sử Đảng Cộng sản Việt Nam,2,Môn đại cương,
MA006,Giải tích,4,Môn đại cương,
MA003,Đại số tuyến tính,3,Môn đại cương,
MA004,Cấu trúc rời rạc,4,Môn đại cương,
MA005,Xác suất thống kê,3,Môn đại cương,
PH002,Nhập môn mạch số,4,Môn đại cương,
IT001,Nhập môn lập trình,4,Môn đại cương,
ENG01,Anh văn 1,4,Môn đại cương,
ENG02,Anh văn 2,4,Môn đại cương,
ENG03,Anh văn 3,4,Môn đại cương,
ME001,Giáo dục Quốc phòng,Tính riêng,Môn đại cương,
PE231,Giáo dục thể chất 1,Tính riêng,Môn đại cương,
PE232,Giáo dục thể chất 2,Tính riêng,Môn đại cương,
IT002,Lập trình hướng đối tượng,4,Môn cơ sở ngành,
IT003,Cấu trúc dữ liệu và giải thuật,4,Môn cơ sở ngành,
IT004,Cơ sở dữ liệu,4,Môn cơ sở ngành,
IT005,Nhập môn mạng máy tính,4,Môn cơ sở ngành,
IT006,Kiến trúc máy tính,3,Môn cơ sở ngành,
IT007,Hệ điều hành,4,Môn cơ sở ngành,
NT005,Giới thiệu ngành MMT&TTDL,1,Môn cơ sở ngành,
NT101,An toàn mạng máy tính,4,Môn cơ sở ngành,
NT131,Hệ thống nhúng mạng không dây,4,Môn cơ sở ngành,
NT105,Truyền dữ liệu,4,Môn cơ sở ngành,
NT106,Lập trình mạng căn bản,3,Môn cơ sở ngành,
NT118,Phát triển ứng dụng trên thiết bị di động,3,Môn cơ sở ngành,
NT132,Quản trị mạng và hệ thống,4,Môn cơ sở ngành,
NT113,Thiết kế mạng,3,Môn cơ sở ngành,
NT531,Đánh giá hiệu năng hệ thống mạng máy tính,3,Môn chuyên ngành,
NT532,Công nghệ Internet of Things hiện đại,3,Môn chuyên ngành,
NT533,Hệ tính toán phân bố,3,Môn chuyên ngành,
NT536,Công nghệ truyền thông đa phương tiện,3,Môn chuyên ngành,
NT402,Công nghệ mạng viễn thông,3,Môn chuyên ngành,
NT538,Giải thuật xử lý song song và phân bố,3,Môn chuyên ngành,
NT540,Mạng không dây thế hệ mới,3,Môn chuyên ngành,
NT542,Lập trình kịch bản tự động hóa cho quản trị và bảo mật mạng,3,Môn chuyên ngành,
NT543,Tín hiệu và hệ thống thông tin,3,Môn chuyên ngành,
NT535,Bảo mật Internet of Things,3,Môn chuyên ngành,
NT545,Thiết kế hệ thống viễn thông,3,Môn chuyên ngành,
NT546,Thiết kế và triển khai mạng tốc độ cao,3,Môn chuyên ngành,
NT209,Lập trình hệ thống,3,Môn chuyên ngành,
SS004,Kỹ năng nghề nghiệp,2,Môn chuyên ngành,
,Tự chọn tự do 1,,Môn tự do,
,Tự chọn tự do 2,,Môn tự do,
NT210,Thương mại điện tử và triển khai ứng dụng,3,Môn tự do,
NT334,Pháp chứng kỹ thuật số,3,Môn tự do,
NT205,Tấn công mạng,3,Môn tự do,
NT330,An toàn mạng không dây và di động,3,Môn tự do,
NT207,Quản lý rủi ro và an toàn thông tin trong doanh nghiệp,3,Môn tự do,
NT534,An toàn mạng máy tính nâng cao,3,Môn tự do,
NT405,Bảo mật Internet,3,Môn tự do,
NT208,Lập trình ứng dụng web,3,Môn tự do,
NT201,Phân tích thiết kế hệ thống Truyền thông và Mạng,3,Môn tự do,
NT109,Lập trình ứng dụng mạng,3,Môn tự do,
NT204,"Hệ thống tìm kiếm, phát hiện và ngăn ngừa xâm nhập",3,Môn tự do,
NT121,Thiết bị mạng và truyền thông đa phương tiện,3,Môn tự do,
NT114,Đồ án chuyên ngành,2,"Đồ án, thực tập",
NT215,Thực tập doanh nghiệp,2,"Đồ án, thực tập",
NT505,Khóa luận tốt nghiệp,10,"Đồ án, thực tập",
NT506,Đồ án tốt nghiệp tại doanh nghiệp,10,"Đồ án, thực tập",
NT508,Đồ án tốt nghiệp,6,"Đồ án, thực tập",
,Chuyên đề tốt nghiệp tự chọn,,"Đồ án, thực tập",
NT332,Xử lý tín hiệu trong Truyền thông,4,"Đồ án, thực tập",
NT539,AI ứng dụng trong mạng và truyền thông,4,"Đồ án, thực tập",
NT541,Công nghệ mạng khả lập trình,4,"Đồ án, thực tập",
NT544,Ăng ten và truyền thông vô tuyến,4,"Đồ án, thực tập",
NT548,Công nghệ DevOps và ứng dụng,4,"Đồ án, thực tập",
IT001,Nhập môn lập trình,4,"Đồ án, thực tập",
